ProductId,Total Revenue Test 25,Total Cost Test 25,Total Margin Test 25,Quantity Test 25,Avg Price Test 25,Total Revenue Control 25,Total Cost Control 25,Total Margin Control 25,Quantity Control 25,Avg Price Control 25,Total Revenue Test 24,Total Cost Test 24,Total Margin Test 24,Quantity Test 24,Avg Price Test 24,Total Revenue Control 24,Total Cost Control 24,Total Margin Control 24,Quantity Control 24,Avg Price Control 24,Sensitivity Cluster,Price change,StrategyBoxName
00013069__E0020,2725.59,1546.86,1177.05,870,3.132862069,3009.6,1600.2,1407.6,900,3.344,4114.2,1997.28,2119.2,1140,3.608947368,4430.25,2286.36,2146.5,1305,3.394827586,Very sensitive,Equal,KVI Strategy
00013072__S0025,1709.55,1036.035,674.1,585,2.922307692,1624.05,796.83,827.55,450,3.609,3117.15,1652.805,1463.4,945,3.298571429,1926.75,970.695,955.5,555,3.471621622,Very sensitive,Down,KVI Strategy
00013167__S0036,13138.14,6895.446,6243.72,2118,6.203087819,2064.36,936.288,1128.36,288,7.167916667,16203.18,7854.714,8350.86,2394,6.768245614,14327.4,6732.612,7596.84,2052,6.982163743,Moderately sensitive,Down,KVI Strategy
00013184__E0030,178.56,82.8,95.76,24,7.44,2346.24,1076.4,1269.84,312,7.52,1908,1093.92,814.08,318,6,4290.72,1960.8,2329.92,570,7.527578947,Very sensitive,Down,KVI Strategy
00013196_ZWA_S0036,7109.05,3911.805,3202.15,1125,6.319155556,1632.8,762.3,871.6,220,7.421818182,1812.2,912.6,899.6,260,6.97,5427.05,2650.05,2777,755,7.188145695,Moderately sensitive,Down,KVI Strategy
00013792__S0080,227.49,162.792,64.65,12,18.9575,453.05,325.584,127.37,24,18.87708333,169.04,117.963,51.05,9,18.78222222,174.76,131.07,43.66,10,17.476,Neutral,Up,Core Products 
00013793__S0080,555.33,386.937,168.42,27,20.56777778,729.34,530.247,199.13,37,19.71189189,271.92,193.494,78.44,14,19.42285714,584.93,428.451,156.51,31,18.86870968,Neutral,Up,Core Products 
00013796__S0080,120.13,93.585,26.53,5,24.026,48.9,37.434,11.46,2,24.45,164.86,126.735,38.16,7,23.55142857,165.48,126.735,38.78,7,23.64,Neutral,Up,Core Products 
00013798__S0080,646.45,472.923,173.56,33,19.58939394,721.07,558.909,162.2,39,18.48897436,791.63,582.624,209.09,42,18.84833333,968.37,776.832,191.65,56,17.29232143,Neutral,Up,Core Products 
00013799__S0080,545.31,400.35,144.99,28,19.47535714,691.56,544.578,147.02,38,18.19894737,174.62,138.72,35.92,10,17.462,594.42,457.776,136.71,33,18.01272727,Neutral,Up,Core Products 
00013800__S0080,214.17,154.581,59.57,9,23.79666667,591.28,465.426,125.8,27,21.89925926,106.53,83.385,23.13,5,21.306,576.97,466.956,109.93,28,20.60607143,Neutral,Up,Core Products 
00013801__S0080,70.92,51.714,19.2,3,23.64,364.67,293.046,71.59,17,21.45117647,211.48,166.77,44.68,10,21.148,124.96,100.062,24.88,6,20.82666667,Neutral,Up,Core Products 
00013809__S0080,421.95,286.608,135.3,21,20.09285714,585.57,436.736,148.77,32,18.2990625,1017.9,711.936,306.18,54,18.85,732.03,540.544,191.65,41,17.85439024,Neutral,Up,Core Products 
00013810__S0048,307.38,215.796,91.62,12,25.615,69.02,53.949,15.08,3,23.00666667,158.66,104.286,54.38,6,26.44333333,258.68,191.191,67.5,11,23.51636364,Neutral,Up,Core Products 
00013815__S0112,202.21,142.104,60.13,12,16.85083333,29.74,23.684,6.06,2,14.87,263.19,160.146,103.03,14,18.79928571,57.48,45.756,11.72,4,14.37,Neutral,Up,Core Products 
00013868__@,275,0,275,4,68.75,150,0,150,2,75,35,0,35,1,35,25,0,25,1,25,,,
00014047__@,5.15,2.297,2.85,1,5.15,4.9,2.297,2.6,1,4.9,7.18,4.594,2.58,2,3.59,2.58,2.297,0.28,1,2.58,Neutral,Up,Core Products 
00014228__@,44.2,18.745,25.45,5,8.84,29.25,18.745,10.5,5,5.85,93.5,56.235,37.25,15,6.233333333,29.25,18.745,10.5,5,5.85,Neutral,Up,Core Products 
00014232__E0360,91.45,56.03,35.45,10,9.145,82.1,56.03,26.1,10,8.21,106.6,56.03,50.6,10,10.66,131.1,84.045,47.1,15,8.74,Neutral,Up,Core Products 
00014373__E0500,878.8,551.61,327.1,90,9.764444444,778.44,551.61,226.7,90,8.649333333,1092.2,674.19,417.9,110,9.929090909,1265.1,919.35,345.6,150,8.434,Neutral,Up,Core Products 
00014419__@,128.9,66.74,62.1,20,6.445,99.6,66.74,32.8,20,4.98,66.3,33.37,32.9,10,6.63,46.6,33.37,13.2,10,4.66,Neutral,Up,Core Products 
00026892__@,110.35,30.028,80.31,4,27.5875,28.58,7.507,21.07,1,28.58,116.84,37.535,79.29,5,23.368,23.87,7.507,16.36,1,23.87,Neutral,Up,Core Products 
00027301__@,204.98,142.698,62.3,6,34.16333333,31.96,23.783,8.18,1,31.96,181.7,141.684,40.04,6,30.28333333,124.12,94.456,29.68,4,31.03,Neutral,Up,Core Products 
00031763__E0024,665.46,321.555,344.025,97.5,6.825230769,4826.85,2399.295,2426.1,727.5,6.634845361,4117.5,1963.26,2151.9,585,7.038461538,2474.34,1233.33,1239.675,367.5,6.732897959,Very sensitive,Down,KVI Strategy
00031765_ZWA_E0020,1570.875,729.33,841.95,210,7.480357143,1189.65,599.0925,591.075,172.5,6.896521739,8665.5,5067.3,3592.5,1425,6.081052632,1268.4,640.08,627.6,180,7.046666667,Very sensitive,Equal,KVI Strategy
00052956__E0033,1169.6,598.74,571.2,180,6.497777778,693.34,332.2,361.2,100,6.9334,1765.6,811.2,954.4,240,7.356666667,751.5,354.9,396.6,105,7.157142857,Very sensitive,Down,KVI Strategy
00097327_BLA FINE_E0030,823.14,339.762,483.48,102,8.07,3283.98,1458.978,1825.44,438,7.497671233,295.92,118.908,177.12,36,8.22,5630.88,2596.158,3037.08,786,7.163969466,,Equal,Core Products 
00097329_WHITE**_E0030,2648.75,1332.965,1315.45,335,7.906716418,4439.7,2268.03,2171.1,570,7.788947368,267.75,138.355,129.5,35,7.65,3993,2016.03,1978.5,510,7.829411765,Very sensitive,Down,KVI Strategy
00097329_ZWA_E0030,2289.7,1086.69,1204,330,6.938484848,758.74,345.765,413.3,105,7.226095238,11626.25,5519.25,6115.25,1650,7.046212121,2447.9,1103.85,1345.7,330,7.417878788,Very sensitive,Down,KVI Strategy
00099199__S1820,23.33928,10.49598,12.8402,3.41,6.844363636,16.94987,8.5374,8.4165,2.79,6.075222222,17.64954,7.51719,10.1339,2.48,7.11675,53.88823,23.45925,30.4513,7.75,6.95332,Neutral,Up,Core Products 
00100078_ZWA_E0030,2018.6,957.58,1061.8,260,7.763846154,783.45,368.3,415.45,100,7.8345,3249.9,1381.95,1867.95,415,7.831084337,280.35,116.55,163.8,35,8.01,Very sensitive,Down,KVI Strategy
00100777__S0036,1498,931.7,567,350,4.28,306.88,167.706,139.3,63,4.871111111,40.25,18.214,22.05,7,5.75,330.4,182.14,148.4,70,4.72,Very sensitive,Down,KVI Strategy
00101700__E0030,1828.19,975.884,852.67,364,5.0225,212.52,112.602,99.96,42,5.06,2436.28,1158.507,1276.45,441,5.524444444,76.16,36.778,39.34,14,5.44,Very sensitive,Equal,KVI Strategy
00103034__E0030,272.16,128.268,144.06,42,6.48,157.5,91.62,66,30,5.25,4932.24,2697.408,2236.56,864,5.708611111,1800,1123.92,676.8,360,5,Very sensitive,Down,KVI Strategy
00111147__S0160,208.37592,185.99616,22.3488,33.12,6.291543478,2767.08456,2236.79232,529.4808,397.44,6.962269928,443.7432,361.72944,81.9936,63.36,7.003522727,933.12864,745.30008,187.704,130.32,7.160287293,Moderately sensitive,Down,KVI Strategy
00111148__S0120,45.75816,33.27912,12.4992,5.04,9.079,565.1568,475.416,89.9568,72,7.8494,435.50424,342.65736,92.9952,51.12,8.519253521,64.63224,48.2616,16.3872,7.2,8.9767,Moderately sensitive,Down,KVI Strategy
00111150__S0084,3736.44936,3778.04304,-41.2128,442.8,8.43823252,604.39896,456.23664,148.1184,53.28,11.34382432,1903.8996,1481.1696,423.36,168.48,11.30044872,421.91496,322.91568,99.0144,36.72,11.49005882,Moderately sensitive,Equal,KVI Strategy
00111151__S0072,727.75008,525.20256,202.4352,54.72,13.29952632,81.2592,62.19504,19.0512,6.48,12.54,580.53024,411.29424,169.2,41.76,13.90158621,17.23968,14.18256,3.0528,1.44,11.972,Moderately sensitive,Down,KVI Strategy
00111152__S0060,1503.342,1184.53104,319.1472,110.88,13.55827922,1160.09712,930.70296,229.6512,87.12,13.31608264,6447.24144,4941.3528,1508.0544,450.72,14.30431629,1476.4752,1136.8512,340.1424,103.68,14.24069444,Moderately sensitive,Down,KVI Strategy
00111155__S0048,4762.51344,4042.584,720.396,326.16,14.60177042,1575.98856,1295.8128,280.3824,104.4,15.09567586,2048.4,1320.15744,728.5536,103.68,19.75694444,899.41608,705.91752,193.6656,55.44,16.22323377,Moderately sensitive,Equal,KVI Strategy
00111209__@,387.18864,282.42432,104.7312,37.44,10.34157692,164.2032,97.95168,66.2256,12.96,12.67,850.7808,679.72176,171.0432,86.4,9.847,143.29728,90.99648,52.3008,11.52,12.439,Moderately sensitive,Equal,KVI Strategy
00111212__@,704.6208,535.06944,169.5168,46.08,15.29125,296.02656,184.50432,111.4848,15.84,18.68854545,1169.40096,942.81552,226.6128,77.76,15.03859259,386.8704,245.36736,141.5232,20.16,19.19,Moderately sensitive,Down,KVI Strategy
00111213__@,333.1584,228.71808,104.3712,17.28,19.28,336.9744,209.65824,127.2528,15.84,21.27363636,756.13968,674.27856,81.864,48.96,15.44402941,440.496,278.99424,161.4816,20.16,21.85,Moderately sensitive,Down,KVI Strategy
00112649__E0024,134.4,65.74,68.6,20,6.72,62.5,32.87,29.6,10,6.25,259.6,130.36,129.2,40,6.49,134.4,65.18,69.2,20,6.72,Very sensitive,Equal,KVI Strategy
00113586__E0096,1682.26,753.27,928.4,210,8.010761905,217.65,89.675,127.9,25,8.706,489.0325,213.54,275.425,60,8.150541667,796.0725,320.31,475.65,90,8.84525,Very sensitive,Equal,KVI Strategy
00113587__E0072,2117.5836,966.5964,1150.149,277.2,7.639190476,26.9313,11.5071,15.411,3.3,8.161,1667.0313,776.1996,890.604,224.4,7.428838235,405.2796,194.0499,211.2,56.1,7.224235294,Very sensitive,Equal,KVI Strategy
00118886__E0200,95.78,33.28,62.4,80,1.19725,70.72,24.96,45.6,60,1.178666667,246.24,91.52,154,220,1.119272727,111.24,41.6,69.4,100,1.1124,Neutral,Up,Core Products 
00119074_YEL_@,85.28,66.196,18.98,26,3.28,3.52,2.546,0.97,1,3.52,21.12,13.944,7.2,6,3.52,33.48,23.24,10.28,10,3.348,Neutral,Up,Core Products 
00125577__@,27.2,14.7,13.2,140,0.194285714,21,10.5,11,100,0.21,5.4,2.1,3.4,20,0.27,185.8,93.975,96.3,895,0.207597765,Neutral,Up,Core Products 
00129633__E0018,2740,2149.043,590.97,13,210.7692308,220,165.311,54.69,1,220,822.91,495.933,326.98,3,274.3033333,250.83,165.311,85.52,1,250.83,Neutral,Up,Core Products 
00131061__@,6.5,4.986,1.52,6,1.083333333,27.77,22.437,5.36,27,1.028518519,5.82,4.71,1.14,6,0.97,5.58,4.71,0.9,6,0.93,Neutral,Up,Core Products 
00133052__@,64.77,40.27,24.5,1,64.77,63.93,40.27,23.66,1,63.93,533.78,325.312,208.5,8,66.7225,130.32,81.328,49,2,65.16,Neutral,Up,Core Products 
00133056__@,164.53,82.496,82.06,8,20.56625,124.35,61.872,62.49,6,20.725,57.97,30.936,27.04,3,19.32333333,37.82,20.624,17.2,2,18.91,Neutral,Up,Core Products 
00133061__@,28.83,14.625,14.23,5,5.766,22.42,11.7,10.74,4,5.605,54.19,29.25,24.99,10,5.419,9.98,5.85,4.14,2,4.99,Neutral,Up,Core Products 
00133063__@,49.3,21.296,28.02,8,6.1625,24.97,10.648,14.33,4,6.2425,17.66,7.986,9.68,3,5.886666667,20.68,10.648,10.04,4,5.17,Neutral,Up,Core Products 
